build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|player.countertrend",5,0.001%,100%,10,19884525,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.pattern-memory",5,0.001%,100%,10,19287650,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|player.side-step|tie.tie-whisperer",5,0.001%,100%,10,18135050,1,"clean-hands + opening-tell + opening-tell + side-step"
"banker.banco-battery|core.opening-tell|counter.false-read|heat.soft-footsteps|player.side-step",5,0.001%,100%,10,21872300,1,"banco-battery + opening-tell + false-read + soft-footsteps"
"core.lucky-chip|core.opening-tell|economy.interest-ledger|heat.soft-footsteps|tie.split-signal",5,0.001%,100%,10,16140625,1,"lucky-chip + opening-tell + interest-ledger + soft-footsteps"
"core.opening-tell|counter.false-read|debt.last-dollar|heat.soft-footsteps|vision.dealer-glance",5,0.001%,100%,10,15008262.4,1,"opening-tell + false-read + last-dollar + soft-footsteps"
"core.opening-tell|core.player-surge|counter.false-read|economy.interest-ledger|heat.soft-footsteps",5,0.001%,100%,10,13533900,1,"opening-tell + player-surge + false-read + interest-ledger"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|pair.pair-hunter",5,0.001%,100%,10,18458150,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|player.countertrend|player.side-step|vision.pattern-memory",5,0.001%,100%,10,16681450,1,"clean-hands + opening-tell + countertrend + side-step"
"core.clean-hands|core.opening-tell|core.opening-tell|core.tie-insurance|counter.false-read",5,0.001%,100%,10,13971200,1,"clean-hands + opening-tell + opening-tell + tie-insurance"
"banker.house-favorite|core.clean-hands|core.lucky-chip|core.opening-tell|counter.false-read",5,0.001%,100%,10,13798400,1,"house-favorite + clean-hands + lucky-chip + opening-tell"
"core.opening-tell|core.opening-tell|core.player-surge|heat.soft-footsteps|player.side-step",5,0.001%,100%,10,17536625,1,"opening-tell + opening-tell + player-surge + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|player.countertrend|vision.soft-peek",5,0.001%,100%,10,18260475,1,"clean-hands + opening-tell + opening-tell + countertrend"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.soft-peek",5,0.001%,100%,10,17233975,1,"clean-hands + opening-tell + soft-footsteps + banker-forecast"
"core.clean-hands|core.lucky-chip|core.opening-tell|counter.false-read|tie.split-signal",5,0.001%,100%,10,17751325,1,"clean-hands + lucky-chip + opening-tell + false-read"
"core.clean-hands|core.opening-tell|player.punto-strike|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,15619225,1,"clean-hands + opening-tell + punto-strike + tie-whisperer"
"core.clean-hands|core.opening-tell|core.tie-insurance|tie.mirror-bet|vision.soft-peek",5,0.001%,100%,10,17638730,1,"clean-hands + opening-tell + tie-insurance + mirror-bet"
"core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.dealer-glance|vision.deep-read",5,0.001%,100%,10,18102875,1,"clean-hands + opening-tell + tie-whisperer + dealer-glance"
"banker.dealers-nod|core.lucky-chip|core.opening-tell|core.opening-tell|heat.soft-footsteps",5,0.001%,100%,10,26019400,1,"dealers-nod + lucky-chip + opening-tell + opening-tell"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.punto-strike|vision.dealer-glance",5,0.001%,100%,10,23644975,1,"opening-tell + false-read + soft-footsteps + punto-strike"
